year,category,nominee,workers,winner
2008,Best Pop Collaboration with Vocals,Gone Gone Gone (Done Moved On),"Alison Krauss, Robert Plant",True
2008,Best Pop Collaboration with Vocals,Beautiful Liar,"Beyoncé, Shakira",False
2008,Best Pop Collaboration with Vocals,Give It To Me,"Nelly Furtado, Timbaland, Justin Timberlake",False
2008,Best Pop Instrumental Album,The Mix-Up,"Beastie Boys (artist), Mike D (producer), Adam Horovitz (producer), Adam Yauch (producer)",True
2008,Best Pop Instrumental Performance,One Week Last Summer,Joni Mitchell,True
2008,Best Pop Performance by a Duo or Group with Vocals,Makes Me Wonder,Maroon 5,True
2008,Best Pop Vocal Album,Back to Black,"Amy Winehouse, Mark Ronson (producer)",True
2008,Best Pop Vocal Album,The Reminder,Leslie Feist,False
2008,Best Pop Vocal Album,Memory Almost Full,Paul McCartney,False
2008,Best Pop/Contemporary Gospel Album,A Deeper Level,"Israel & New Breed (artist), Aaron Lindsey (producer)",True
2008,Best R&B Album,Funk This,"Chaka Khan, Bobby Ross Avila (producer), Issiah Avila (producer), Jimmy Jam (producer), Terry Lewis (producer), Big Jim Wright (producer)",True
2008,Best R&B Album,The Real Thing: Words and Sounds Vol. 3,Jill Scott,False
2008,Best R&B Album,Luvanmusiq,Musiq,False
2008,Best R&B Song,No One,"Alicia Keys (artist/songwriter), Kerry Brothers (songwriter), Dirty Harry (songwriter)",True
2008,Best R&B Vocal Performance by a Duo or Group,Disrespectul,"Mary J. Blige, Chaka Khan",True
2008,Best R&B Vocal Performance by a Duo or Group,Baby,"Angie Stone, Betty Wright",False
2008,Best R&B Vocal Performance by a Duo or Group,Same Girl,"R. Kelly, Usher Raymond",False
2008,Best Rap Album,Graduation,Kanye West (producer),True
2008,Best Rap Album,Kingdom Come,Jay-Z,False
2008,Best Rap Album,T.I. vs. T.I.P.,T.I.,False
2008,Best Rap Performance by a Duo or Group,Southside,"Common, Kanye West",True
2008,Best Rap Performance by a Duo or Group,Make It Rain,"Fat Joe, Lil' Wayne",False
2008,Best Rap Performance by a Duo or Group,Party Like A Rockstar,Shop Boyz,False
2008,Best Rap Solo Performance,Stronger,Kanye West,True
2008,Best Rap Solo Performance,The People,Common,False
2008,Best Rap Solo Performance,Big Things Poppin' (Do It),T.I.,False
2008,Best Rap Song,Good Life,"Kanye West (artist/songwriter), T-Pain (artist/songwriter), Dj Toomp (songwriter), Mike Dean (songwriter)",True
2008,Best Rap/Sung Collaboration,Umbrella,"Jay-Z, Rihanna",True
2008,Best Rap/Sung Collaboration,Kiss Kiss,"Chris Brown, T-Pain",False
2008,Best Rap/Sung Collaboration,Good Life,"T-Pain, Kanye West",False
2008,Best Recording Package,Cassadaga,"Zachary Nipper (art director), Bright Eyes (artist)",True
2008,Best Reggae Album,Mind Control,"Stephen Marley (producer), Greg Morris (engineer/mixer)",True
2008,"Best Remixed Recording, Non-Classical",Bring The Noise (Benny Benassi Sfaction Remix),"Benny Benassi (remixer), Public Enemy (artist)",True
2008,Best Rock Album,"Echoes, Silence, Patience & Grace","Foo Fighters, Gil Norton (producer)",True
2008,Best Rock Album,Daughtry,Daughtry,False
2008,Best Rock Album,Sky Blue Sky,Wilco,False
2008,Best Rock Instrumental Performance,Once Upon A Time In The West,Bruce Springsteen,True
2008,Best Rock Song,Radio Nowhere,Bruce Springsteen (songwriter),True
2008,Best Rock Song,The Pretender,Foo Fighters (songwriters),False
2008,Best Rock Song,Come On,Lucinda Williams (songwriter),False
2008,Best Rock Vocal Performance by a Duo or Group,Icky Thump,The White Stripes,True
2008,Best Rock Vocal Performance by a Duo or Group,Working Class Hero,Green Day,False
2008,Best Rock Vocal Performance by a Duo or Group,Instant Karma,U2,False
2008,Best Rock or Rap Gospel Album,Before The Daylight's Shot,"Ashley Cleveland (artist/producer), Kenny Greenberg (producer)",True
2008,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Ratatouille,Michael Giacchino (composer),True
2008,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Blood Diamond,James Newton Howard,False
2008,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Pan's Labyrinth,Javier Navarrete,False
2008,Best Short Form Music Video,Johnny Cash: God's Gonna Cut You Down,"Tony Kaye (video director), Rachel Curl (video producer)",True
2008,Best Small Ensemble Performance,"Stravinsky: Apollo, Concerto In D; Prokofiev: 20 Visions Fugitives","Philipp Nedel (producer), Yuri Basmet (conductor), Moscow Soloists (ensembles), Michael Brammann (engineer)",True
2008,Best Solo Rock Vocal Performance,Radio Nowhere,Bruce Springsteen,True
2008,Best Solo Rock Vocal Performance,Our Country,John Mellencamp,False
2008,Best Solo Rock Vocal Performance,Only Mama Knows,Paul McCartney,False
2008,"Best Song Written for Motion Picture, Television or Other Visual Media",Love You I Do,Dreamgirls,True
2008,"Best Song Written for Motion Picture, Television or Other Visual Media",Song Of The Heart,Happy Feet,False
2008,"Best Song Written for Motion Picture, Television or Other Visual Media",Falling Slowly,Once,False
2008,"Best Southern, Country or Bluegrass Gospel Album",Salt Of The Earth,"Ricky Skaggs (artist/producer), The Whites (artist), Buck White (producer), Cheryl White (producer), Sharon White (producer), Brent King (engineer/mixer)",True
2008,Best Spoken Word Album,The Audacity of Hope: Thoughts on Reclaiming the American Dream,"Barack Obama, Jacob Bronstein (producer)",True
2008,Best Spoken Word Album,Giving: How Each of Us Can Change the World,Bill Clinton,False
2008,Best Spoken Word Album,Celebrations,Maya Angelou,False
2008,Best Spoken Word Album for Children,Harry Potter and the Deathly Hallows,"Jim Dale, Orli Moscowitz (producer), David S. Rapkin (producer)",True
2008,Best Surround Sound Album,Love,"Paul Hicks (surround mix engineer), Tim Young (surround mastering engineer), George Martin (surround producer), Giles Martin (surround producer), The Beatles (artist)",True
2008,Best Tejano Album,Before The Next Teardrop Falls,Little Joe & La Familia (artist),True
2008,Best Traditional Blues Album,Last Of The Great Mississippi Delta Bluesmen: Live In Dallas,"Henry Townsend (artist), Pinetop Perkins (artist), Robert Lockwood Jr. (artist), Honeyboy Edwards (artist), Jeffry Dyson (producer), Michael Dyson (producer), Paul Grupp (engineer), Scott Shuman (producer/engineer)",True
2008,Best Traditional Folk Album,Dirt Farmer,"Levon Helm (artist), Larry Campbell (producer), Amy Helm (producer), Justin Guip (engineer)",True
2008,Best Traditional Gospel Album,Live - One Last Time,"The Clark Sisters (artist), Donald Lawrence (producer/engineer/mixer), James Auwarter (engineer/mixer), Craig Bauer (engineer/mixer), Todd Fairall (engineer/mixer), David Habegger (engineer/mixer), John Jaszcz (engineer/mixer), Darius Lawrence (engineer/mixer), Joseph Logsdon (engineer/mixer), Nelson Robinson (engineer/mixer), Raymond Rogers (engineer/mixer)",True
2008,Best Traditional R&B Vocal Performance,In My Songs,Gerald Levert,True
2008,Best Traditional World Music Album,African Spirit,"Soweto Gospel Choir (artist), Robin Hogarth (producer)",True
2008,Best Tropical Latin Album,La Llave De Mi Corazón,Juan Luis Guerra (artist/producer),True
2008,Best Urban/Alternative Performance,Daydreamin',"Lupe Fiasco, Jill Scott",True
2008,Best Urban/Alternative Performance,That's the Way of the World,Dwele,False
2008,Best Urban/Alternative Performance,Make A Baby,Vikter Duplaix,False
2008,Best Zydeco or Cajun Music Album,Live! Worldwide,"Terrance Simien & The Zydeco Experience (artist), Joshua Murrell (producer/engineer)",True
2008,"Producer of the Year, Classical",Judith Sherman,,True
2008,"Producer of the Year, Non-Classical",Mark Ronson,,True
2008,Record of the Year,Rehab,"Amy Winehouse (artist), Mark Ronson (producer/engineer/mixer), Tom Elmhirst (engineer/mixer), Samuel Merrick (engineer/mixer), Dom Morley (engineer/mixer), Bosco Mann (engineer/mixer)",True
2008,Song of the Year,Rehab,Amy Winehouse (songwriter),True
2008,Song of the Year,Umbrella,"Jay-Z (songwriter), Kuk Harrell (songwriter), The-Dream (songwriter), Christopher Stewart (songwriter)",False
2008,Song of the Year,Hey There Delilah,Tom Higgenson (songwriter),False
2008,Best Traditional Pop Vocal Album,Call Me Irresponsible,"Michael Bublé (artist), David Foster (producer), Humberto Gatica (producer)",False
2009,Album of the Year,Raising Sand,"Alison Krauss (artist), Robert Plant (artist), T Bone Burnett (producer), Mike Piersante (engineer/mixer), Gavin Lurssen (mastering engineer)",True
2009,Album of the Year,Tha Carter III,"Lil' Wayne (artist), The Alchemist (producer), David Banner (producer), Vaushaun Brooks (producer), Cool & Dre (producer), Andrews Correa (producer), Shondrae Crawford (producer), Jim Jonsin (producer), Mousa (producer), Pro Jay (producer), Rodnae (producer), Play-N-Skillz (producer), D. Smith (producer), Swizz Beatz (producer), T-Pain (producer), Kanye West (producer), Darius Deezle Harrison (producer/engineer/mixer), Robin Thicke (producer/engineer/mixer), Angel Aponte (engineer/mixer), Joshua Berkman (engineer/mixer), Andrew Dawson (engineer/mixer), Joe G. (engineer/mixer), Fabian Marascuillo (engineer/mixer), Miguel Scott (engineer/mixer), Julian Vasquez (engineer/mixer), Gina Victoria (engineer/mixer), Vlado Meller (mastering engineer)",False
2009,Album of the Year,In Rainbows,"Radiohead (artist), Nigel Godrich (producer/engineer/mixer), Dan Grech-Marguerat (engineer/mixer), Hugo Nicolson (engineer/mixer), Richard Woodcraft (engineer/mixer), Bob Ludwig (mastering engineer)",False
2009,Best Album Notes,Kind Of Blue: 50th Anniversary Collector's Edition,"Francis Davis (album notes writer), Miles Davis (artist)",True
2009,Best Alternative Music Album,In Rainbows,"Radiohead (artist), Nigel Godrich (producer)",True
2009,Best Alternative Music Album,Narrow Stairs,Death Cab for Cutie,False
2009,Best Alternative Music Album,Evil Urges,My Morning Jacket,False
2009,Best Banda Album,No Es De Madera,Joan Sebastian (artist/producer),True
2009,Best Banda Album,Vive y Dejame Vivir,Banda Cuisillos,False
2009,Best Banda Album,Tiro de Gracia,Lupillo Rivera,False
2009,Best Bluegrass Album,Honoring the Fathers of Bluegrass: Tribute to 1946 and 1947,"Ricky Skaggs, The Kentucky Thunder",True
2009,Best Bluegrass Album,Wheels,Dan Tyminski,False
2009,Best Bluegrass Album,Del McCoury Band — Live At The 2008 New Orleans Jazz & Heritage Festival,The Del McCoury Band,False
2009,Best Boxed or Special Limited Edition Package,In Rainbows,"Stanley Donwood (art director), Mel Maxwell (art director), Christiaan Munro (art director), Radiohead (artist)",True
2009,Best Chamber Music Performance,"Carter, Elliott: String Quartets Nos. 1 And 5","Pacifica Quartet (ensembles), Judith Sherman (producer), William Mayhone (engineer/mixer)",True
2009,Best Choral Performance,Symphony Of Psalms,"Simon Halsey (chorus master), Simon Rattle (conductor), Stephen Johns (producer), Mike Clements (engineer), Rundfunkchor Berlin (artist), Berliner Philharmoniker (artist)",True
2009,Best Classical Album,Weill: Rise And Fall Of The City Of Mahagonny,"James Conlon (conductor), Anthony Dean Griffey (artist), Patti LuPone (artist), Audra McDonald (artist), Fred Vogler (producer)",True
2009,Best Classical Contemporary Composition,Mr. Tambourine Man: Seven Poems Of Bob Dylan,John Corigliano (composer),True
2009,Best Classical Crossover Album,Simple Gifts,"The King's Singers (artist/producer), Gregg Jackman (engineer)",True
2009,Best Classical Vocal Performance,Corigliano: Mr. Tambourine Man: Seven Poems Of Bob Dylan,"Hila Plitmann (soloist), John Corigliano (producer/engineer), Tim Handley (producer/engineer), Tom Lazarus (engineer), JoAnn Falletta (artist), Buffalo Philharmonic Orchestra (artist)",True
2009,Best Comedy Album,Flight of the Conchords,George Carlin... It's Bad for Ya!,True
2009,Best Comedy Album,Songs of the Bushmen,Harry Shearer,False
2009,Best Comedy Album,Anticipation,Lewis Black,False
2009,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Juno,"Peter Afterman (producer), Jason Reitman (producer), Margaret Yen (producer)",True
2009,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",August Rush,,False
2009,"Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media",Sweeney Todd: The Demon Barber of Fleet Street,,False
2009,Best Contemporary Blues Album,City That Care Forgot,"Dr. John (artist), Jeff The Jedi Master Jones (producer), Chris Finney (engineer)",True
2009,Best Contemporary Blues Album,Peace Love & BBQ,Marcia Ball,False
2009,Best Contemporary Blues Album,Maesteo,Taj Mahal,False
2009,Best Contemporary Folk/Americana Album,Raising Sand,"Robert Plant (artist), Alison Krauss (artist), T Bone Burnett (producer), Mike Piersante (engineer)",True
2009,Best Contemporary Folk/Americana Album,Day After Tomorrow,Joan Baez,False
2009,Best Contemporary Folk/Americana Album,"I, Flathead",Ry Cooder,False
2009,Best Contemporary Jazz Album,Randy in Brasil,"Randy Brecker (artist), Ruriá Duprat (producer)",True
2009,Best Contemporary Jazz Album,Lifecycle,"Yellowjackets, Michael Stern",False
2009,Best Contemporary Jazz Album,Miles from India (Various artists),,False
2009,Best Contemporary R&B Album,Growing Pains,"Mary J. Blige (artist), Chris O'Ryan (engineer/mixer)",True
2009,Best Contemporary R&B Album,Fearless,Jazmine Sullivan,False
2009,Best Contemporary R&B Album,Year of the Gentleman,Ne-Yo,False
2009,Best Contemporary R&B Gospel Album,The Fight of My Life,"Kirk Franklin (artist/producer), Harold Martin (producer), Chris Godbey (engineer/mixer), John Jaszcz (engineer/mixer), Ryan Moys (engineer/mixer), Tre Nagella (engineer/mixer)",True
2009,Best Contemporary R&B Gospel Album,The Sound,Mary Mary,False
2009,Best Contemporary R&B Gospel Album,Stand Out,Tye Tribbett,False
2009,Best Contemporary World Music Album,Global Drum Project,"Mickey Hart (artist/producer), Zakir Hussain (artist/producer), Sikiru Adepoju (artist), Giovanni Hidalgo (artist)",True
2009,Best Contemporary World Music Album,Shake Away,Lila Downs,False
2009,Best Contemporary World Music Album,Rokku mi Rokka (Give and Take),Youssou N'Dour,False
2009,Best Country Album,Troubadour,"George Strait (artist/producer), Tony Brown (producer)",True
2009,Best Country Album,Sleepless Nights,Patty Loveless,False
2009,Best Country Album,"Heaven, Heartache and the Power of Love",Trisha Yearwood,False
2009,Best Country Collaboration with Vocals,Killing the Blues,"Alison Krauss, Robert Plant",True
2009,Best Country Collaboration with Vocals,Shiftwork,"Kenny Chesney, George Strait",False
2009,Best Country Collaboration with Vocals,Let the Wind Chase You,"Trisha Yearwood, Keith Urban",False
2009,Best Country Instrumental Performance,Cluster Pluck,"Brad Paisley, James Burton, Vince Gill, John Jorgenson, Albert Lee, Brent Mason, Redd Volkaert, Steve Wariner",True
2009,Best Country Instrumental Performance,Is This America? (Katrina 2005),"Charlie Haden, Pat Metheny, Jerry Douglas, Bruce Hornsby",False
2009,Best Country Instrumental Performance,Two Small Cars In Rome,"Jerry Douglas, Lloyd Green",False
2009,Best Country Song,Stay,"Jennifer Nettles (songwriter), Sugarland (artist)",True
2009,Best Country Song,In Color,Jamey Johnson,False
2009,Best Country Song,You're Gonna Miss This,Trace Adkins,False
2009,Best Country Vocal Performance by a Duo or Group,Stay,Sugarland,True
2009,Best Country Vocal Performance by a Duo or Group,Love Don't Live Here,Lady Antebellum,False
2009,Best Country Vocal Performance by a Duo or Group,Blue Side of the Mountain,The Steeldrivers,False
2009,Best Dance Recording,"Harder, Better, Faster, Stronger (Alive 2007)","Daft Punk (artist), Thomas Bangalter (producer/mixer), Guy-Manuel De Homem-Christo (producer/mixer)",True
